Regulator	Target	MI
ATF1	NEK7	0.37811532328769903
ATF1	SP1	0.3704099923106252
ATF1	ENTPD5	0.3368424312103526
ATF1	YIPF4	0.2024447179160509
ATF1	RNF115	0.24452385487540695
ATF1	GDI1	0.22536847465363685
ATF1	RELL2	0.2628439800005218
ATF1	CD2AP	0.27788314346517673
ATF1	ELOF1	0.3396665705771058
ATF1	AEBP2	0.2890787914979729
ATF1	PPP2R2D	0.2004044905094986
ATF1	SFRS2IP	0.3766272581616219
ATF1	TSPAN9	0.16603621477268682
ATF1	SPIN4	0.24225333447613284
ATF1	PCYT2	0.3277492065459491
ATF1	ZNF397OS	0.24988826411466913
ATF1	STXBP3	0.26086731975613997
ATF1	CCDC124	0.3739195434124509
ATF1	CNOT6L	0.3186421490031792
ATF1	NARF	0.25714185832466097
ATF1	CDKAL1	0.21924612730558923
ATF1	CYP2J2	0.11342523868486509
ATF2	MBD5	0.5086132319810517
ATF2	FBXO11	0.39702943712118266
ATF2	SP3	0.5452901421016056
ATF2	MAP3K2	0.7761413601422111
ATF2	PRKG2	0.2697030431518366
ATF2	ASXL2	0.7618378960483794
ATF2	SETX	0.6316505345567558
ATF2	CHD9	0.5824929577134181
ATF2	ORC2L	0.4200197007251969
ATF2	CHUK	0.3754268972787793
ATF2	TREX1	0.3654468880872743
ATF2	STAM2	0.45726860079831333
ATF2	DNAJC10	0.3168573152538636
ATF2	C8orf37	0.28563348260232235
ATF2	C20orf7	0.24646381578965837
ATF2	SLC25A3	0.1933551743581079
ATF2	GTF3C3	0.5096252042982652
ATF2	ZFR	0.48428915770923275
ATF2	SAP130	0.33528355969489443
ATF2	RAB3GAP1	0.44077725491945596
ATF2	PLBD2	0.28486476136702077
ATF2	NBEAL1	0.777611480829643
ATF2	MAP3K13	0.4219107080096558
ATF2	STXBP4	0.32346095728411495
ATF2	UBXN4	0.46963133663168755
ATF2	FKBP10	0.22497851328132512
ATF2	NAA10	0.5454874420949478
ATF2	ZNF593	0.5405932268416205
ATF2	PREPL	0.4388227063492245
ATF2	RNF220	0.29031469393035625
ATF2	SLC39A10	0.3648391237156483
ATF2	NKPD1	0.18394636278440757
ATF2	NCKAP1	0.5244902309780022
ATF2	DKFZp686O24166	0.31250777496449
ATF2	PAPOLA	0.33785988291880376
ATF2	POLR2I	0.5050520918923018
ATF2	IDH3G	0.38771239897694976
ATF2	ZRANB3	0.3716919663304825
ATF2	PTPN4	0.4302168613569126
ATF2	CCNI	0.3923281860003529
ATF2	NDUFS1	0.4112855325281579
ATF2	MAF1	0.3758368840272528
ATF2	USP51	0.42925479669182653
SPI1	NEBL	0.21672044817033598
SPI1	EGLN3	0.16778570483174438
SPI1	FBXO6	0.25427223713229363
SPI1	LGALS9	0.6509980183670576
SPI1	SDC4	0.14908938137660144
SPI1	VMO1	0.2660908609099222
SPI1	FCER1G	0.8912544812844141
SPI1	PLD3	0.2684481617181014
SPI1	PSMB10	0.43965905469744904
SPI1	C1orf127	0.19045565458238123
SPI1	APOC2	0.26056669591044646
SPI1	APOC1	0.3599301140332374
SPI1	TYMP	0.3860704140438216
SPI1	IL4I1	0.5438799569956103
SPI1	RNASE2	0.28387178519405776
SPI1	EMP3	0.6249505672477067
SPI1	PIK3R6	0.5427549676921917
SPI1	WASL	0.2477713710017868
SPI1	LAT2	0.76913646691251
SPI1	C9orf167	0.5510604407545561
SPI1	ANKRD58	0.5429157411742453
SPI1	TREM2	0.34406342355287745
SPI1	SGEF	0.17515542932235117
SPI1	LST1	0.8932731809621837
SPI1	TNFAIP8L2	0.8836990221292744
SPI1	WAS	0.9844180262770159
SPI1	STAC3	0.5290076208939896
SPI1	LILRB1	0.7570404155956192
SPI1	LILRB2	0.7359591626594151
SPI1	LILRB4	0.7925683847466649
SPI1	TMEM149	0.5110613040779795
SPI1	NFKBIE	0.3864397234286061
SPI1	PDE6G	0.5488741171309428
SPI1	ADORA3	0.3084566568272802
SPI1	FTL	0.3796340870325263
SPI1	ACP5	0.3290817481315056
SPI1	IFFO1	0.5079616778951284
SPI1	AIMP1	0.15711020022815347
SPI1	KIAA1949	0.4742352198162285
SPI1	IL18	0.483236831191344
SPI1	RELT	0.38918351710840504
SPI1	IL32	0.4575870015208139
SPI1	GLA	0.1194250126667562
SPI1	PLEKHO1	0.5196243556547726
SPI1	GRN	0.4370067519567229
SPI1	RAB42	0.35859999227429107
SPI1	RAB32	0.2627079950299258
SPI1	CATSPER1	0.3672421360421758
SPI1	P2RY6	0.441274379630201
SPI1	RENBP	0.5287483110172966
SPI1	HCK	0.9617022271760973
SPI1	HK3	0.6150064153806527
SPI1	CKLF	0.27856305108423385
SPI1	SH3BGRL3	0.40187997334789216
SPI1	PRAM1	0.5582660187407464
SPI1	LRRC25	0.8999895877723949
SPI1	S100A4	0.393846112736564
SPI1	UPP1	0.4053621489329142
SPI1	SH3BP1	0.37372414583375146
SPI1	IFI30	0.6293049228655638
SPI1	PAQR5	0.13121407078467495
SPI1	CRYBB1	0.44940157711785034
SPI1	DOK3	0.8248237492940005
SPI1	FUT7	0.7055281945853107
SPI1	PPP1R9B	0.231095504745487
SPI1	C17orf60	0.6108300158233781
SPI1	SLC24A6	0.2242705317900917
SPI1	RHOG	0.5138011957400783
SPI1	CYBASC3	0.2646855188851198
SPI1	MAN2B1	0.6071049954311993
SPI1	LY86	0.6231424389765241
SPI1	RIN3	0.48196867597199766
SPI1	TYROBP	1.2870507003612541
SPI1	CYTH4	0.9081946839101409
SPI1	USF1	0.24996744852361807
SPI1	HLA-DQB2	0.4013568919393249
SPI1	TPM4	0.1934351993555623
SPI1	C22orf9	0.26283322233974893
SPI1	HLA-H	0.37497554312195813
SPI1	PURB	0.246527181563029
SPI1	LOC653786	0.22719503938220953
SPI1	TNFSF12-TNFSF13	0.30755159613812566
SPI1	C2orf16	0.25007680274185873
SPI1	MMP9	0.2591544128820287
SPI1	IRF5	0.4253319060506424
SPI1	LAPTM5	1.0098183919769559
SPI1	TRMT5	0.21009192972052215
SPI1	SLC15A3	0.7702196839297901
SPI1	C19orf38	0.5170887971092721
SPI1	CD300A	0.7111996101792473
SPI1	CD300C	0.6614764480962991
SPI1	ARPC2	0.29699053714516577
SPI1	ITGB2	0.9710704925490283
SPI1	C14orf33	0.18753410414906568
SPI1	ITGAX	0.7199932827340945
SPI1	MYO1F	1.1108767380752873
SPI1	CAPG	0.281297804398978
SPI1	OSM	0.2650956182218662
SPI1	TMSL3	0.350582596489569
SPI1	APOB48R	0.4080226407896559
SPI1	ASCL2	0.24076088025897047
SPI1	NR1H3	0.2631393566677538
SPI1	ZNF334	0.19055458496148958
SPI1	TM7SF4	0.2889743288375408
SPI1	TCIRG1	0.26505917319115824
SPI1	EMILIN2	0.438382498844728
SPI1	CYP2S1	0.3495400803711428
SPI1	C1QB	0.7612869347205073
SPI1	C1QA	0.8063186634098871
SPI1	MPP1	0.4895807463809039
SPI1	C1QC	0.8974351139372656
SPI1	TRPV2	0.7737552278816517
SPI1	GNA15	0.25766285338297923
SPI1	LRRC37B	0.1617968314354874
SPI1	HAMP	0.27691809920435073
SPI1	FERMT3	1.349993537297987
SPI1	NCF1	0.7643514149585533
SPI1	NCF4	0.863348706124011
SPI1	ARRB2	0.6455193258204597
SPI1	CD14	0.5231063232459183
SPI1	CTSA	0.294218328779829
SPI1	CTSZ	0.38544527465974276
SPI1	CTSD	0.21571399935879576
SPI1	CD33	0.6558560625142684
SPI1	CTSB	0.4667136880061795
SPI1	CD53	0.8236103973648632
SPI1	CD68	0.7325038340978347
SPI1	CD86	0.7214382030735109
