Regulator	Target	MI
ATF1	NEK7	0.32328731479181005
ATF1	PPP1R12C	0.28023030548139083
ATF1	PCBP4	0.33791287700851314
ATF1	ALG10B	0.3367351500404805
ATF1	AEBP2	0.3362375580873156
ATF1	LYSMD3	0.4331538447134111
ATF1	SFRS2IP	0.5660432066411811
ATF1	SPIN4	0.27783425899140024
ATF1	EFR3A	0.307802470363268
ATF1	ZNF788	0.20771300866966502
ATF1	FAM109A	0.3157814027485868
ATF1	CARS	0.23201334945583518
ATF1	POMGNT1	0.20741931781903578
ATF1	GNA13	0.31132484724856013
ATF1	TOR1AIP1	0.3296166346685512
ATF1	CREB1	0.4292505728827116
ATF1	ATG4D	0.3297498078699004
ATF1	RB1	0.30599009688555423
ATF2	MBD5	0.5375203057455762
ATF2	TAZ	0.44497902639279285
ATF2	SRFBP1	0.4441291189190757
ATF2	MTDH	0.3935483923377756
ATF2	LANCL1	0.4730350615045058
ATF2	ASXL2	0.873177213796021
ATF2	HELZ	0.5376522387552383
ATF2	DBT	0.3688747637703971
ATF2	NCOA1	0.4478519825461875
ATF2	RAPH1	0.37827146039413684
ATF2	RNF152	0.28055199003640396
ATF2	ZFP91	0.5373868008962788
ATF2	TESK1	0.3993860839244068
ATF2	BCORL1	0.2183704729162006
ATF2	PABPN1	0.4335551630374539
ATF2	SEC24B	0.5588816724449401
ATF2	ATP5L	0.32203437976033467
ATF2	PAK2	0.334287881278887
ATF2	SERPINC1	0.15353378424459674
ATF2	RAB3GAP1	0.4435997389693078
ATF2	SRBD1	0.3380248364078282
ATF2	RFESD	0.14890371523003942
ATF2	TNPO3	0.3913992246530116
ATF2	ZNF718	0.34849992948695796
ATF2	TRIP12	0.6480226314285007
ATF2	?|57714	0.5457116162002134
ATF2	NCKAP1	0.5472079990015573
ATF2	CCNI	0.4560426131315989
ATF2	CREB1	0.5490923559860352
ATF2	AGL	0.28577484145623355
SPI1	KCNC3	0.17970736860340786
SPI1	ALAS1	0.14645134528732573
SPI1	NECAP2	0.36135374610298054
SPI1	LGALS9	0.5192717874243264
SPI1	APOE	0.5173377682145217
SPI1	VMO1	0.31875486566455624
SPI1	FCER1G	0.8154758931392436
SPI1	SELPLG	0.7868232327612308
SPI1	PLD3	0.32134351094763236
SPI1	PSMB10	0.4484059373688769
SPI1	CD4	0.795685639849081
SPI1	C1orf162	0.7075228823811273
SPI1	MOBKL2A	0.26737628528805857
