Regulator	Target	MI
ATF1	LARP4	0.36170543352219653
ATF1	NEK7	0.33974709964588534
ATF1	C12orf29	0.28083555029271157
ATF1	PCBP4	0.31120642234632
ATF1	PCBP2	0.2256887962302736
ATF1	SPHAR	0.17550996309543798
ATF1	SFRS2IP	0.4585144705172963
ATF1	ARL5B	0.3334773833493063
ATF1	TRIM23	0.3696567585373751
ATF1	RPS15	0.36924551185812593
ATF1	SLC25A24	0.3199207884844535
ATF1	ARL6IP6	0.2712264626970189
ATF1	RAB33B	0.45705419592665475
ATF1	CENPQ	0.20483866474583223
ATF1	MON2	0.38062692281480626
ATF1	TBC1D15	0.34602129021103334
ATF1	C9orf80	0.31402494495879907
ATF1	TOR1AIP1	0.3460381027924804
ATF1	CREB1	0.450363671789181
ATF1	PUS7L	0.34699199021644134
ATF2	IREB2	0.6284317210632118
ATF2	SP3	0.5739007582953475
ATF2	RNASET2	0.3395506336795213
ATF2	DENND4A	0.6374376772237706
ATF2	SYNJ2	0.385901830694249
ATF2	ASXL2	0.8254912539596937
ATF2	RGPD3	0.5394560698211421
ATF2	JSRP1	0.2780402698780531
ATF2	PIK3R4	0.502825412789222
ATF2	TPRA1	0.4969058596249285
ATF2	RNF169	0.6380831052415648
ATF2	LIN37	0.49964792641849964
ATF2	BARD1	0.4985810534642825
ATF2	SCRN3	0.4165213869419695
ATF2	RFC1	0.4421146629921351
ATF2	ERC1	0.47163801914735437
ATF2	GLUD2	0.4014933763820192
ATF2	RAB3GAP1	0.4592176798035714
ATF2	LOC728323	0.3686220546762424
ATF2	PTER	0.34796893563956033
ATF2	SRBD1	0.3208580807903658
ATF2	COX19	0.2693537530454666
ATF2	TTC32	0.16452029406438928
ATF2	WDR46	0.40815814718260146
ATF2	KIDINS220	0.5953405983837445
ATF2	UBR3	0.6913908851091515
ATF2	UBXN4	0.4536881395003878
ATF2	ACAP2	0.548515678195951
ATF2	KIAA1715	0.5738467722597997
ATF2	RBM18	0.3410628609917916
ATF2	NAA10	0.5562735845835745
ATF2	UGGT1	0.3815962430766886
ATF2	ARL6IP4	0.5107607427635648
ATF2	DOCK9	0.45493371647192316
ATF2	SCYL2	0.5935654888591833
ATF2	OSBPL11	0.4604447814908932
ATF2	SLC39A10	0.35551076837981643
ATF2	NCKAP1	0.49962972477224454
ATF2	ZRANB3	0.3771313551290678
ATF2	EID2	0.21758585862421143
ATF2	MRPL54	0.47960087297757337
ATF2	C9orf41	0.6376492960180098
ATF2	NDUFS1	0.4651100315466712
ATF2	DCTN3	0.4100201397969361
ATF2	PTPN11	0.5066547967896744
ATF2	PTOV1	0.47058775298827005
ATF2	USP37	0.5687371933057399
SPI1	ZNF16	0.12746831449753326
SPI1	FXYD5	0.3309678277375143
SPI1	NEFH	0.20153733934176987
SPI1	LGALS9	0.5656242021393982
SPI1	BTC	0.15836123827040893
SPI1	VMO1	0.3077313662161183
SPI1	FCER1G	0.790639430493421
SPI1	HUNK	0.19862376178137708
SPI1	GALM	0.39469189208652455
SPI1	POM121L10P	0.10416113738493227
SPI1	APOC2	0.26287036256366836
SPI1	APOC1	0.4134734788645327
SPI1	IL1RN	0.1727582115740267
SPI1	IL4I1	0.6088434357804946
SPI1	RNASE2	0.30995208604011015
SPI1	EMP3	0.633034782934879
SPI1	PIK3R6	0.5643737274805662
SPI1	LAT2	0.8132834055914859
SPI1	C9orf167	0.61489915450022
SPI1	GSDMA	0.18335066651052934
SPI1	TMEM180	0.2033549933031047
SPI1	ANKRD58	0.5510545563122706
SPI1	TREM2	0.45098071667711803
SPI1	LST1	0.981701620225059
SPI1	TNFAIP8L2	0.9461414323964714
SPI1	WAS	1.0914696320538289
SPI1	STAC3	0.5846377724656238
SPI1	LILRB1	0.8175750785002265
SPI1	LILRB2	0.7789658034911513
SPI1	LILRB4	0.7463732927847193
SPI1	TMEM149	0.6426750607880516
SPI1	HSPA6	0.22391966449591028
SPI1	RGS19	0.5128348493590771
SPI1	PDE6G	0.5471829617350537
SPI1	FTL	0.45410580954662816
SPI1	ACP5	0.30444572594650143
SPI1	IL18	0.4319204878016416
SPI1	RELT	0.4416023766795929
SPI1	PNPLA6	0.3091955271059783
SPI1	GRN	0.3591231479193109
SPI1	CATSPER1	0.3526636754177277
SPI1	P2RY6	0.5278797746607342
SPI1	RAB18	0.22556673009827577
SPI1	RENBP	0.609952203259243
SPI1	HCK	0.9449639365171354
SPI1	HK3	0.5456233714119616
SPI1	WEE1	0.20316476115846616
SPI1	PRAM1	0.5828232996655407
SPI1	LRRC25	0.8657701393407171
SPI1	S100A4	0.3200751401908235
SPI1	IFI30	0.7021708466600263
SPI1	CRYBB1	0.42190877199309273
SPI1	PLA2G15	0.29707681131744845
SPI1	DOK3	0.7801848134750653
SPI1	CCL3L1	0.22494111489084734
SPI1	FUT7	0.6173472960588402
SPI1	RAD18	0.23507124440214344
SPI1	C17orf60	0.7073563907743861
SPI1	SEMA5B	0.2328357939444814
SPI1	PYCARD	0.28736059292773586
SPI1	SEMA7A	0.33654323189175006
SPI1	PSAP	0.352713647891159
SPI1	SIGLEC16	0.2005281661464542
SPI1	RHOG	0.5649382515959269
SPI1	ARHGAP22	0.4693573898323171
SPI1	MAN2B1	0.5677539319608069
SPI1	C10orf125	0.3781393567791653
SPI1	HLA-DRB6	0.4937120004000155
SPI1	LY96	0.4888018073681826
SPI1	RIN3	0.4920286593554586
SPI1	TYROBP	1.2758686962946708
SPI1	LYL1	0.5626799203901847
SPI1	CYTH4	0.89447632905613
SPI1	PI4K2A	0.23657192375466884
SPI1	SLC17A9	0.3038828387085166
SPI1	UBN2	0.28430137178161985
SPI1	PARVG	0.909890169525517
SPI1	SLC16A3	0.3293347065977814
SPI1	NPC2	0.3045654647573395
SPI1	DSG2	0.2203647237353561
SPI1	MMP9	0.30076225531122613
SPI1	IRF5	0.46554946463515634
SPI1	MS4A14	0.2326974605204999
SPI1	CARD9	0.4009507813133526
SPI1	LAPTM5	1.0481029177260401
SPI1	SLC15A3	0.6795816021602858
SPI1	KCNIP4	0.2260642299309934
SPI1	C19orf38	0.5135428556922914
SPI1	PFN1	0.30985204269516764
SPI1	CD300A	0.7103285087224398
SPI1	CD300C	0.6958769137830441
SPI1	NCF1C	0.6594258151201444
SPI1	ALDH3B1	0.2784307693250181
SPI1	SIGLEC7	0.8208641745738605
SPI1	ITGB2	0.975738499713219
SPI1	ITGAX	0.7725654595965956
SPI1	MYO1F	1.1086051544883713
SPI1	CAPG	0.315298842442445
SPI1	OSM	0.35396274496249003
SPI1	TMSL3	0.48226997010119277
SPI1	APOB48R	0.42890578176437
SPI1	NR1H3	0.2802535873278247
SPI1	TM7SF4	0.2625727971986178
SPI1	TCIRG1	0.3386894095517903
SPI1	TRPM2	0.3136435052570681
SPI1	CYP2S1	0.38922615936342364
SPI1	C1QB	0.723608671218746
SPI1	C1QA	0.8303135091693132
SPI1	C1QC	0.7881182739064378
SPI1	TRPV2	0.829479784651431
SPI1	HAMP	0.3034138168579812
SPI1	FERMT3	1.4053670141610413
SPI1	ZNF232	0.13799795821653227
SPI1	FABP3	0.14669316754484552
SPI1	NCF1	0.8177295513369334
SPI1	NCF4	0.894341910910744
SPI1	SAT1	0.2709982995153233
SPI1	ARRB2	0.6093025708823179
SPI1	CD14	0.5943794164870821
SPI1	CTSZ	0.5468530180273392
SPI1	CD33	0.6865123557596702
SPI1	CTSB	0.41556970117217773
SPI1	CD74	0.7297165630343709
SPI1	CD72	0.5521902489633339
SPI1	CD68	0.7210235014241899
SPI1	CD86	0.7159124071240903
SPI1	OSCAR	0.6771396947489698
SPI1	CHST13	0.2473213359494313
SPI1	NFAM1	0.6457328521618937
SPI1	HCLS1	0.8496592023176408
SPI1	BRI3	0.25679470882950906
SPI1	EFHD2	0.5491739138398
SPI1	TFE3	0.21459944667826036
SPI1	SLC2A6	0.3543391308604056
SPI1	CAMK1G	0.27922464175636286
SLA2	IL2RG	1.247065892699177
SLA2	IL2RA	0.5912791026153652
SLA2	IL2RB	1.1180838144983278
SLA2	LGALS2	0.5917532804275911
SLA2	APOBEC3G	0.7650131931537807
SLA2	APOBEC3H	0.6441481124083817
SLA2	CARD16	0.5483055278964306
SLA2	CARD11	0.7720563851539435
SLA2	TBX21	1.1177270391085452
SLA2	CD2	1.4725999992313428
SLA2	CD6	0.9400207550419974
SLA2	CD5	1.2288850433956222
