Regulator	Target	MI
ATF1	LARP4	0.3953811189037877
ATF1	LEMD3	0.35984767388229777
ATF1	NUPL1	0.3164204502469872
ATF1	EPHA4	0.26029357878558823
ATF1	ANKRD28	0.29375448442981433
ATF1	AEBP2	0.36986463825529725
ATF1	SFRS2IP	0.5362786530743522
ATF1	ARID2	0.3659903267693565
ATF1	CDC42SE2	0.2509042516354345
ATF1	PDIA3	0.18633836268629977
ATF1	PDCL	0.2854098775321088
ATF1	DNAJB2	0.3034174686026594
ATF1	INTS6	0.3268338643703128
ATF1	C19orf70	0.37767455789022986
ATF1	KIAA1033	0.39557088267116747
ATF1	FCHO2	0.3542054136739381
ATF1	CREB1	0.34970142830065143
ATF2	PPFIBP1	0.35375612690517144
ATF2	MBD5	0.5119371096303746
ATF2	SP3	0.578453449789218
ATF2	FAM190A	0.2363302418300144
ATF2	ASXL2	0.8952416928939799
ATF2	C6orf81	0.22556806293281007
ATF2	DBT	0.348499983270508
ATF2	TXNDC16	0.36150909038691825
ATF2	LOC389458	0.23765661229919655
ATF2	ORC2L	0.4317236344648805
ATF2	LST1	0.26350923603648546
ATF2	SLC33A1	0.39381369735222105
ATF2	LIN37	0.5124395153322148
ATF2	UBE2M	0.5179024469248139
ATF2	BARD1	0.4813484429489501
ATF2	RHBDD1	0.5122137664046145
ATF2	GTF3C3	0.5259077726124
ATF2	SSU72	0.3654235523372158
ATF2	PHF11	0.20546518273539416
ATF2	RAB3GAP1	0.48513503201697983
ATF2	LOC100128292	0.18095152691480187
ATF2	FAM149B1	0.2818169981233716
ATF2	UBR3	0.6099787141749102
ATF2	LCORL	0.35575785516414005
ATF2	C7orf26	0.32372434575861053
ATF2	C20orf46	0.26997304185969195
ATF2	NCEH1	0.2632304850086795
ATF2	ZNF460	0.39120146209091455
ATF2	UPK3BL	0.2169883496859848
ATF2	NCKAP1	0.539060197917208
ATF2	NTHL1	0.4728759881431088
ATF2	DHRS1	0.24103261948989108
ATF2	ZRANB3	0.45714507409963545
ATF2	CCNI	0.4009660539314881
ATF2	NDUFS1	0.45005473231808146
ATF2	TIMM10	0.41594330195606233
ATF2	SF3B1	0.5518981179818088
ATF2	WASH2P	0.4462171354905724
ATF2	RP2	0.3416113489945358
ATF2	MGAT4A	0.22965952023132363
SPI1	LOC606724	0.5786120091641962
SPI1	FXYD5	0.3482438201773732
SPI1	LGALS9	0.6363099195321062
SPI1	APOE	0.4851328315097687
SPI1	FCER1G	0.8725424201034979
SPI1	TGM2	0.2754330467888364
SPI1	GALM	0.26169213696749605
SPI1	ASGR2	0.523252958538488
SPI1	PLTP	0.33916447475631983
SPI1	C1orf162	0.7501362871054793
