Regulator	Target	MI
ATF1	SP1	0.36104299609689594
ATF1	SP3	0.33574440392822247
ATF1	MAP3K2	0.3750842511688486
ATF1	DHRS11	0.16593058281857598
ATF1	AEBP2	0.31636849648480503
ATF1	EXOC3L	0.31928435732545335
ATF1	SFRS2IP	0.4703243448122114
ATF1	C5orf24	0.4219813744914749
ATF1	ADAT3	0.27946539529438574
ATF1	ADRM1	0.3715766020102782
ATF1	EEA1	0.383936106383719
ATF1	RAB33B	0.3344099003144594
ATF1	ZNF484	0.39318268170984183
ATF1	ZNF460	0.32890189289444294
ATF1	ETNK1	0.30032036209715685
ATF1	KIAA1033	0.3397508382385981
ATF1	AK1	0.3324013090409359
ATF2	PIAS1	0.5720482238759583
ATF2	KCNE2	0.19146331069724631
ATF2	CCDC144A	0.3319444910297289
ATF2	PRPF40A	0.40375734726790213
ATF2	DYNC1I2	0.30846165780482604
ATF2	ASXL2	0.8179660006773855
ATF2	WDSUB1	0.1762293391051859
ATF2	KLHL23	0.3982986734079663
ATF2	CHMP6	0.4631285030007124
ATF2	EIF3A	0.35601074232246965
ATF2	GFM1	0.3339837573341553
ATF2	RHBDD1	0.47008193381448304
ATF2	NFE2L2	0.3579765196502702
ATF2	PPM1B	0.35155258059838435
ATF2	SEC24B	0.5768273178601167
ATF2	ICK	0.37540935993587343
ATF2	ING2	0.15555761971505522
ATF2	RAB3GAP1	0.42913730384335835
ATF2	LOC728323	0.41410672117216585
ATF2	LYG1	0.28935989283061136
ATF2	UBR3	0.5807574932037305
ATF2	LCORL	0.32550598171008005
ATF2	LPP	0.4832367104805346
ATF2	C7orf30	0.42716354401490264
ATF2	CCDC111	0.29194257589966277
ATF2	KIAA1715	0.5662704611071376
ATF2	GLI4	0.4669698160446778
ATF2	ZNF570	0.48338976432995473
ATF2	C19orf22	0.4493273827731903
ATF2	TRIP11	0.5585821904772335
ATF2	TRIP12	0.5929208676542439
ATF2	CHRNA10	0.24209290917238135
ATF2	NCKAP1	0.5530011325256954
ATF2	NDUFS1	0.41565758163258515
ATF2	TCF12	0.5092403186278416
ATF2	USP37	0.46670802502903186
SPI1	VOPP1	0.22595495558205947
SPI1	LOC606724	0.5397177376917703
SPI1	HCST	0.801023407259005
SPI1	RNASET2	0.21278629393755022
SPI1	LGALS9	0.5916795196602047
SPI1	APOE	0.5378456675281287
SPI1	GRB2	0.1917810259727668
SPI1	FCER1G	0.7848805614626633
SPI1	TGM2	0.2812989167103037
SPI1	ASGR2	0.492209516734766
SPI1	ANGPTL6	0.2915741623549284
SPI1	IL10RB	0.23038245652388945
SPI1	CD300LF	0.5876294467688998
SPI1	PLTP	0.33746559950965604
SPI1	C1orf127	0.21551712402630585
SPI1	APOC1	0.35999286903671734
SPI1	RPS6KA4	0.4645140983159681
SPI1	CCL4L2	0.2982682987511698
SPI1	IL4I1	0.5467971963122711
SPI1	EMP3	0.5241172457277035
SPI1	EPHB2	0.34384249008880197
SPI1	PIK3R6	0.5170325855034559
SPI1	LAT2	0.7642387307536875
SPI1	C9orf167	0.5474835158561184
SPI1	TMEM180	0.25565867494612604
SPI1	ANKRD58	0.48947491287191625
SPI1	ABI3	0.8297823079334821
SPI1	TREM2	0.4934427436109541
SPI1	LST1	0.9655942470481076
SPI1	TNFAIP8L2	0.8838855773315215
SPI1	WAS	1.0646948023850324
SPI1	STAC3	0.6206771891304728
SPI1	LILRB1	0.8696411258706602
SPI1	LILRB3	0.5695161586369561
SPI1	LILRB4	0.860696562510503
SPI1	TGFB1	0.3719203824242996
SPI1	HSPA7	0.30171421123623254
SPI1	RGS19	0.4746808072197819
SPI1	PDE6G	0.5153279765559926
SPI1	FTL	0.4077002718537637
SPI1	ACP5	0.32430028083607976
SPI1	KIAA1949	0.4306450124760275
SPI1	IL18	0.46024054265455216
SPI1	RELT	0.4137913634299437
SPI1	IL32	0.4706542550465711
SPI1	HMOX1	0.48985318010198764
SPI1	PLEKHO1	0.6081474266986158
SPI1	CATSPER1	0.38734072650351603
SPI1	P2RY6	0.4713679510419073
SPI1	RENBP	0.5445773833948921
SPI1	HCK	0.9211489296334392
SPI1	HK3	0.5649233756272674
SPI1	SH3BGRL3	0.34025404844738993
SPI1	PRAM1	0.5454676975192605
SPI1	LRRC25	0.9528844711821245
SPI1	S100A4	0.33076927493362174
SPI1	UPP1	0.40392106855581655
SPI1	SH3BP1	0.38590671583324987
SPI1	IFI30	0.7254799896120483
SPI1	CRYBB1	0.4507886547755753
SPI1	PLA2G15	0.29135082158610803
SPI1	DOK3	0.7681673331443308
SPI1	CCL3L1	0.19911779078250103
SPI1	SH3TC1	0.4372185696317903
SPI1	ENDOD1	0.14573320755604158
SPI1	C17orf60	0.6466094000446008
SPI1	ADAM8	0.3680985387751541
SPI1	SLC37A2	0.3241638420509103
SPI1	RHOG	0.5371975947082186
SPI1	ARHGAP22	0.41647470136124465
SPI1	MAN2B1	0.5314362050581991
SPI1	HLA-DRB1	0.6061601472099154
SPI1	LY86	0.6098542516089598
SPI1	ANPEP	0.2557460075208997
SPI1	RIN3	0.47545081067576334
SPI1	TYROBP	1.2589834137734082
SPI1	LYL1	0.6004679355788918
SPI1	PARVG	0.9022166894659245
SPI1	LAIR1	0.7275981503530238
SPI1	LOC653786	0.20355594720197878
SPI1	TNFSF12-TNFSF13	0.3400374176356582
SPI1	PILRA	0.7114655630055138
SPI1	MMP9	0.32181797798884393
SPI1	IRF5	0.38659241108006626
SPI1	CARD9	0.5205088559508386
SPI1	LAPTM5	0.9944949305132029
SPI1	SLC15A3	0.7544015190015241
SPI1	C19orf38	0.47698864139155983
SPI1	CD300A	0.7721074384534026
SPI1	CD300C	0.7197513040996064
SPI1	ALDH3B1	0.35242803052222893
SPI1	SIGLEC9	0.7296835544150406
SPI1	SIGLEC7	0.7085139403588396
SPI1	TBXAS1	0.5177084917394446
SPI1	ITGB2	0.9924292806722574
SPI1	ITGAX	0.7909864026243847
SPI1	MYO1F	1.103730747047086
SPI1	KCNK13	0.36870835545310054
SPI1	OSM	0.35331128718719285
SPI1	LOXL3	0.2418954335865271
SPI1	APOB48R	0.4420507123124562
SPI1	NR1H3	0.25178537415116153
SPI1	TCIRG1	0.2876929447194394
SPI1	TRPM2	0.3191344657290953
SPI1	C1QB	0.7439450569811443
SPI1	C1QA	0.8428532556940409
SPI1	C1QC	0.8629961503566337
SPI1	TRPV2	0.811142611503203
SPI1	HAMP	0.33578940714888805
SPI1	FERMT3	1.3102589010580177
SPI1	NCF4	0.9702895249693828
SPI1	CCL4	0.485038138498874
SPI1	CD14	0.5848013710660664
SPI1	CTSZ	0.41576046811250933
SPI1	CD33	0.7062679442116906
SPI1	CTSB	0.3649050641818068
SPI1	CD70	0.32693077099006995
SPI1	CD86	0.7021348134999217
SPI1	OSCAR	0.6986462357410437
SPI1	ISG15	0.27813144089539765
SPI1	CHST13	0.26580315830087997
SPI1	HAVCR2	0.7429516492025758
SPI1	NFAM1	0.676080679936411
SPI1	HCLS1	0.874372950225057
SPI1	EFHD2	0.46483077989118726
SPI1	CHIT1	0.3313245179410105
SPI1	MATK	0.387247346961753
SPI1	SLC2A5	0.3469715268969731
SPI1	CAMK1G	0.16832710214716862
SLA2	IL2RG	1.2520917608628306
SLA2	IL2RB	1.1203940757077246
SLA2	PDCD1	0.8669807597383681
SLA2	APOBEC3D	0.496467860416522
SLA2	APOBEC3G	0.8367476682583082
SLA2	APOBEC3H	0.7060518263793707
SLA2	DAPP1	0.33657415452464434
SLA2	TBX21	1.0851359788570942
SLA2	CD2	1.5495308204635005
SLA2	CD6	0.9274066519770869
SLA2	CD5	1.163694327095529
SLA2	TNIP3	0.5814718001423351
SLA2	CD7	0.8259920495916271
SLA2	SH2D2A	0.6618301251805372
SLA2	SH2D1A	1.207430361705165
SLA2	UBD	0.5463175048320954
SLA2	GBP4	0.6832533930217632
SLA2	UBASH3A	1.1830404618236336
SLA2	GBP5	0.8368361669586522
SLA2	ZBED2	0.6208564639911724
SLA2	GPR171	1.0238511285939635
SLA2	ZDHHC8P1	0.2256628201115829
SLA2	FAM26F	0.6479206179357959
SLA2	MIR155HG	0.7204771198541069
SLA2	ABP1	0.32772435011642465
SLA2	SIRPG	1.1647835648924172
SLA2	SAMD3	1.0590980197741189
SLA2	CORO1A	0.657249198949378
SLA2	CD247	1.2333036112631683
SLA2	SPOCK2	0.8982892355679208
SLA2	GTPBP1	0.14689763014111
SLA2	GFI1	0.9702134922617702
SLA2	SIT1	1.1020273132646583
SLA2	ERAP2	0.36600837875388326
SLA2	PLA2G2D	0.6711819238834602
SLA2	UNC13D	0.3159928195639985
SLA2	RLTPR	0.5185160418319477
SLA2	ITK	1.1741418074815781
SLA2	JAKMIP1	0.46726276087366525
SLA2	IL18BP	0.6929949869137015
SLA2	JAK3	0.8675257191733117
SLA2	SNX20	0.9222041419081712
SLA2	GZMA	1.1337288893812723
SLA2	GZMK	0.9175820800864924
SLA2	ICAM3	0.4327788638762806
SLA2	LCK	1.2066696393984078
SLA2	NOD2	0.25546767113496305
SLA2	LY9	1.0279691276800778
SLA2	LYZ	0.5333743349128008
SLA2	ZNF683	0.793739063067993
SLA2	SFRS4	0.16428895233391394
SLA2	IRF1	0.5506555024320967
SLA2	CXCR4	0.3571835361968647
SLA2	CXCR6	1.178765354702989
SLA2	CXCR3	1.1556869718261549
SLA2	CXCL9	0.7980740179041765
SLA2	SASH3	0.8692724316743572
SLA2	ARHGAP9	0.8019158444752827
SLA2	IL12RB1	0.9131490235428776
SLA2	ITGAL	0.7323813428255352
SLA2	CRTAM	0.8592676893030724
SLA2	ICOS	0.9149897471563317
SLA2	ELMOD1	0.1350290240300609
SLA2	LAMP3	0.6406663928673799
SLA2	CST7	0.9076719603657208
SLA2	PPP4R4	0.15583605319257998
SLA2	FASLG	0.8947935803873017
SLA2	CCL5	1.1736731758642511
SLA2	PTPN1	0.20483781463851347
SLA2	PTPN7	1.0630318425030962
SLA2	SLAMF6	1.1744483369813121
SLA2	SLAMF1	1.0272678692706503
SLA2	CD27	0.9449905127186469
SLA2	CD3G	1.0620965083334664
SLA2	CD3E	1.3486906421407499
SLA2	CD3D	1.2636966521998891
SLA2	SCML4	1.0144356447141725
SLA2	CCR5	0.9665170574180646
SLA2	CD52	0.7491048865655738
SLA2	CD48	1.0087216697482768
SLA2	CAMKK2	0.17106139947289645
SLA2	CD96	1.29655465635705
SLA2	CD8B	0.9191739423730407
SLA2	CD8A	1.1119174074316076
SLA2	TMIGD2	0.5145347988708631
SLA2	CCL22	0.4064455113496397
SLA2	TIGIT	1.0244172027116178
SLA2	SP140	0.8530961285277883
SLA2	PYHIN1	1.0734374891039913
SLA2	BTN3A3	0.4829101409827894
SLA2	BTN3A2	0.39041571517080786
SLA2	TRAT1	1.0254873412895256
SPIB	BLK	0.7282414043111656
SPIB	IL2RG	0.632289617185358
SPIB	LGALS2	0.5810804145519262
SPIB	TBX21	0.5761866693370967
SPIB	CD6	0.6407182187635811
SPIB	CD5	0.7021034958293395
SPIB	CD7	0.5935942173614661
SPIB	PRKCB	0.6064254110614771
SPIB	BTLA	0.6678846072257301
SPIB	IL23A	0.2761417562942112
SPIB	SH2D1A	0.6001502640673007
SPIB	SELL	0.6084763787097538
SPIB	ZAP70	0.6818771553987188
SPIB	UBASH3A	0.647622339546924
SPIB	SLCO5A1	0.4494262538265188
SPIB	HLA-DOB	0.6742440970727559
SPIB	LOC100188949	0.5837910391141508
SPIB	MAP4K1	0.6560859390877001
SPIB	SIRPG	0.5802456128142897
SPIB	UPK3A	0.19089591705187647
SPIB	ACHE	0.34368953077991193
SPIB	NCCRP1	0.20317178018869253
SPIB	CD247	0.5779531531544295
SPIB	IL32	0.4222016899945178
SPIB	MS4A1	0.8608285718378337
SPIB	SPOCK2	0.6465159734381567
SPIB	TRAF3IP3	0.5786455159331396
SPIB	TLR9	0.5003298421378259
SPIB	SIT1	0.7130146296801314
SPIB	COTL1	0.4328045751978644
SPIB	TMC8	0.586944210789957
SPIB	GPR55	0.5468650422153285
SPIB	C5orf20	0.6333198062845584
SPIB	FUT7	0.5930254689145862
SPIB	PLA2G2D	0.5996560185960247
SPIB	ITK	0.6040442530949903
SPIB	FCRLA	0.6580434528760186
