Regulator	Target	MI
ATF1	EGLN1	0.20906995943193785
ATF1	SP1	0.39255931891156237
ATF1	SYNJ2	0.3200457607763294
ATF1	C15orf56	0.14322646916830095
ATF1	TG	0.14646293545550826
ATF1	MED1	0.3433433630539655
ATF1	ALG10B	0.29138075348749126
ATF1	MANEA	0.33377491942165616
ATF1	SLMO1	0.23712534050744782
ATF1	FAM92A1	0.18895093209379343
ATF1	SEC24A	0.3511004880219071
ATF1	SFRS2IP	0.42899030531384774
ATF1	HSPA13	0.2977057799236018
ATF1	IPO8	0.35402243298158886
ATF1	TNPO1	0.36318295553173385
ATF1	RABEP1	0.2690705551612469
ATF1	ZNF488	0.1673653622967679
ATF1	MORC3	0.36928667262761383
ATF2	MBD5	0.5629036157737248
ATF2	SP3	0.6158915856153415
ATF2	U2AF1	0.3672247746614712
ATF2	MRPS25	0.27741519330088593
ATF2	LANCL1	0.44059475667550974
ATF2	ASXL2	0.8322548927054036
ATF2	C12orf61	0.23512311394037422
ATF2	TPRA1	0.5128567668310762
ATF2	RNF111	0.6514936700501917
ATF2	RNF169	0.6630023763810398
ATF2	RPL19	0.33982924231937517
ATF2	SLC33A1	0.40603245412356426
ATF2	TBCCD1	0.28034795783184485
ATF2	ATE1	0.7526548579660206
ATF2	AKAP11	0.5599106751500944
ATF2	NUDT8	0.2674276662478592
ATF2	MAN1A1	0.320258248693273
ATF2	C8orf58	0.315505240274911
ATF2	HFE	0.27750950990554735
ATF2	SEC24B	0.5529738267425302
ATF2	TMEM194B	0.2866883568422409
ATF2	RPPH1	0.20410976554074267
ATF2	RAB3GAP1	0.40780379263334243
ATF2	URM1	0.4569645384293022
ATF2	SNX30	0.437618930754633
ATF2	ZNF860	0.2745237037690371
ATF2	UBR3	0.6947900952813182
ATF2	TMEM185B	0.27739183766659536
ATF2	UBXN4	0.5107789042437281
ATF2	SUV420H1	0.38377975895930305
ATF2	C2orf69	0.3537388641958428
ATF2	KIAA1715	0.5470347602416057
ATF2	IRF3	0.5094745024435321
ATF2	UGGT1	0.4795447476834305
ATF2	RECQL	0.4086475229743378
ATF2	TRIP12	0.6324425987238609
ATF2	HPS3	0.2961074974349529
ATF2	NCKAP1	0.5270175694947206
ATF2	DAND5	0.1963177470418911
ATF2	CCDC12	0.6249263997464931
ATF2	POLR2I	0.5060717855115326
ATF2	FAM167B	0.4127954899497581
ATF2	FASTK	0.48298313250973646
ATF2	C9orf16	0.4930910916672948
ATF2	NDUFS1	0.42147884358614984
ATF2	HSN2	0.37147854708623207
ATF2	TCF12	0.5526640082284171
ATF2	CDV3	0.22114795448629287
ATF2	USP37	0.5406582157227771
ATF2	USP49	0.38006057478391675
SPI1	LGALS1	0.28466670157143525
SPI1	LGALS9	0.6189250757631672
SPI1	SDC3	0.25792548316822206
SPI1	APOE	0.5165171431208977
SPI1	FCER1G	0.9400571644565927
SPI1	PSMB10	0.6535286289204372
SPI1	CSK	0.4416431856822669
SPI1	APOC2	0.3299018112879546
SPI1	APOC1	0.39566246765402635
SPI1	TYMP	0.4577233241352472
SPI1	IL4I1	0.5173988279092416
SPI1	EDEM2	0.2547734931656356
SPI1	EMP3	0.599327934363
SPI1	LAT2	0.7997321286569621
SPI1	C9orf139	0.4011451011873701
SPI1	C9orf167	0.5910068139128883
SPI1	ANKRD58	0.558012771322054
SPI1	TREM2	0.45323730959769115
SPI1	SLC46A2	0.1742192527826072
SPI1	LST1	0.9818534704357296
SPI1	TNFAIP8L2	0.9300237949006283
SPI1	WAS	1.050637896226779
SPI1	STAC3	0.5679873121565624
SPI1	LILRB2	0.8419718288876359
SPI1	LILRB4	0.7976889781391296
SPI1	TMEM149	0.6852977629725414
SPI1	TGFB1	0.4271348163566957
SPI1	NFKBIE	0.42055674235629326
SPI1	RGS19	0.4096816513203807
SPI1	SLC22A18AS	0.18086491414314754
SPI1	PDE6G	0.5950261571159405
SPI1	PCMTD2	0.2344850740383979
SPI1	SLC7A7	0.7817788199762461
SPI1	ACP5	0.3809277891208316
SPI1	RELT	0.45565785056715224
SPI1	HMOX1	0.5199051097936405
SPI1	ARPC1B	0.38966994204666516
SPI1	PLEKHO1	0.5171298630864056
SPI1	GRN	0.412646133293161
SPI1	CATSPER1	0.4006923785210903
SPI1	P2RY6	0.4325918625291525
SPI1	IL15RA	0.5095260453628248
SPI1	RENBP	0.5488327011643115
SPI1	HCK	0.9509743017659007
SPI1	HK3	0.5837933233605277
SPI1	LIMK1	0.31896652905179756
SPI1	WEE1	0.23530847363501906
SPI1	CKLF	0.26718195943485146
