Regulator	Target	MI
ATF1	LARP4	0.36173573998858277
ATF1	SIRT1	0.3831673736899619
ATF1	MDM1	0.3217824210761169
ATF1	LRP3	0.2817980499160413
ATF1	G2E3	0.34352133882379565
ATF1	FAM179B	0.3727448726275151
ATF1	ASB8	0.2827322076722938
ATF1	AEBP2	0.33260461984865763
ATF1	ALG10	0.34669838540787445
ATF1	TMEM30A	0.3072666021834545
ATF1	SLC38A2	0.2641429162201492
ATF1	SFRS2IP	0.4890532480617873
ATF1	TSNAX	0.22742777816453508
ATF1	SPIN4	0.31266098502432627
ATF1	HCFC2	0.43987940412542237
ATF1	RBM27	0.3909355352653199
ATF1	MARCH3	0.10920467182127513
ATF1	ARL6IP6	0.28278743076113244
ATF1	RB1	0.3174618310387878
ATF2	RNASET2	0.3648148459507601
ATF2	BMPR2	0.5633650999739963
ATF2	ASXL2	0.7929739243172573
ATF2	SPCS2	0.20538364039267698
ATF2	HELZ	0.5587242682017459
ATF2	NIPBL	0.5948164285076016
ATF2	NXT1	0.4480714928854068
ATF2	KLHL23	0.43815919205636167
ATF2	RPUSD2	0.3973115498398121
ATF2	B3GNT2	0.2630542022884006
ATF2	DNAJC10	0.467298624656471
ATF2	LATS1	0.7536486678931622
ATF2	CLASP1	0.5492574259697607
ATF2	TMEM203	0.3792342044415964
ATF2	SCRN3	0.3589790692746062
ATF2	RHBDD1	0.4358761034348184
ATF2	ZC3HAV1L	0.48360571932653507
ATF2	GTF3C3	0.5585570563560411
ATF2	EXOSC7	0.38691072553108974
ATF2	RANBP2	0.588112150650006
ATF2	RAB3GAP1	0.47488584038761683
ATF2	MAN2A1	0.5783881400072017
ATF2	WDR85	0.42186957421797544
ATF2	UBR3	0.6617995867306972
ATF2	UBXN4	0.46347180393896625
ATF2	ZDHHC20	0.6855978047405982
ATF2	PUS1	0.4790736975684178
ATF2	MFSD9	0.4286332390024823
ATF2	C7orf47	0.5037937839345306
ATF2	KIAA1715	0.6415554878338297
ATF2	TANC1	0.43741023111569977
ATF2	SMEK2	0.4599818892539762
ATF2	NCKAP1	0.5641423216346615
ATF2	REEP3	0.3802790842639334
ATF2	ZRANB3	0.3697617777898623
ATF2	IDI2	0.19712998168174778
ATF2	CTSH	0.2397439971564248
ATF2	DCTN3	0.50534425338902
ATF2	TCF12	0.5680945298593363
ATF2	PPCDC	0.39657779165995244
ATF2	HINT1	0.30175879068721034
SPI1	HCST	0.7704196349882295
SPI1	LGALS9	0.5962472473801377
SPI1	APOE	0.490798416225414
SPI1	FCER1G	0.8260538735497542
SPI1	ZNF84	0.23259340167345233
SPI1	HS3ST1	0.25695852550813125
SPI1	ASGR2	0.4739230168511499
SPI1	APOL2	0.39707565017875357
SPI1	APOC2	0.31841476529158363
SPI1	APOC1	0.357722032734884
SPI1	TYMP	0.4466588209383344
SPI1	IL4I1	0.5907615622019202
SPI1	RNASE2	0.3302445619947152
SPI1	EDEM2	0.29909460726827053
SPI1	EMP3	0.5591973561073331
SPI1	PTCRA	0.44385137930332785
SPI1	PIK3R6	0.5554027164895574
SPI1	LAT2	0.7346059019893776
SPI1	CYBA	0.47902109899185064
SPI1	C9orf167	0.6402090354693124
SPI1	ANKRD58	0.4736189376811746
SPI1	TREM2	0.4303869152357205
SPI1	LST1	0.9616269155058381
SPI1	TNFAIP8L2	0.9488288362020185
SPI1	FAM20B	0.23016312608044576
SPI1	WAS	0.9894634535768105
SPI1	FAM184B	0.2076440698047728
SPI1	STAC3	0.5666612405067326
SPI1	LILRB1	0.8114000145164058
SPI1	LILRB4	0.829895577754943
SPI1	TMEM149	0.6467487197453057
SPI1	HSPA6	0.24177628815688657
SPI1	RGS19	0.5389254707197999
SPI1	PDE6G	0.545654681324522
SPI1	FTL	0.42507794324091464
SPI1	ACP5	0.2981072789273824
SPI1	IL18	0.47140656993822905
SPI1	RELB	0.4371472743182947
SPI1	RELT	0.45445626885634205
SPI1	PLEKHO2	0.7116814487857583
SPI1	GRN	0.4063513586395926
SPI1	CATSPER1	0.3808845558804226
SPI1	RENBP	0.6915103688489834
SPI1	HCK	0.9271362909164287
SPI1	HK3	0.547836359142579
SPI1	PRAM1	0.6537196876165874
SPI1	LRRC25	0.8341010879015833
SPI1	S100A4	0.4163277323690746
SPI1	SH3BP1	0.44149100942427744
SPI1	FCGR1B	0.6018813906344507
SPI1	IFI30	0.7325653477760357
SPI1	RASSF4	0.5283574696709117
SPI1	CRYBB1	0.43003078840056386
SPI1	PLA2G15	0.35575948846587124
SPI1	DOK3	0.8234780042551142
SPI1	BATF3	0.4845171218901445
SPI1	C17orf60	0.6848552971264867
SPI1	SLC37A2	0.398735734747647
SPI1	GBGT1	0.38715573247723345
SPI1	RHOG	0.49921521358083254
SPI1	MAN2B1	0.49274420450679024
SPI1	FMNL1	0.8261962608623765
SPI1	LY6E	0.27869755541791363
SPI1	LY86	0.7200615602214668
SPI1	KIAA1539	0.24497426484563967
SPI1	TYROBP	1.2360597477340312
SPI1	CYTH4	0.8938964367003184
SPI1	PARD3	0.1784739745561259
SPI1	HLA-DQB1	0.43317444447879705
SPI1	HLA-H	0.4080245785020491
SPI1	HLA-B	0.42555779777361025
SPI1	HLA-A	0.41425185673943776
SPI1	PARVG	0.8777454660895039
SPI1	LAIR1	0.7623487505161881
SPI1	C7orf29	0.21463262946463324
SPI1	SLC16A3	0.3521963649037998
SPI1	TNFSF12-TNFSF13	0.35553926480835596
SPI1	NPC2	0.3543917078649139
SPI1	ZNF385A	0.24233801297966195
SPI1	MMP9	0.27973192537038205
SPI1	IRF5	0.38901660299148144
SPI1	CARD9	0.4606357675697783
SPI1	LAPTM5	0.9626381902682564
SPI1	SLC15A3	0.8086468178454238
SPI1	PFN1	0.32125946913452186
SPI1	ALDH3B1	0.22080402594462356
SPI1	CXCL5	0.23479407178313494
SPI1	FTHL3	0.2982072560109259
SPI1	SIGLEC9	0.7197346828042983
SPI1	ITGB2	1.1109192006346262
SPI1	ITGAX	0.7537228941519585
SPI1	MYO1F	1.181122694262231
SPI1	KCNK13	0.43929623468221646
SPI1	OSM	0.3740966233426919
SPI1	LOXL3	0.24702828319648606
SPI1	TBC1D14	0.1912226386917979
SPI1	APOB48R	0.4971081774776742
SPI1	TM7SF4	0.2638692892907484
SPI1	CYP2S1	0.3474114445821712
SPI1	C1QA	0.8464635947240167
SPI1	C1QC	0.9049184694859758
SPI1	TRPV2	0.8926036883261714
SPI1	GNA15	0.2694491061623552
SPI1	AGAP1	0.1931253566381752
SPI1	HAMP	0.3356099636590768
SPI1	FERMT3	1.365714151645986
SPI1	NCF1	0.7989385509545439
SPI1	NCF4	0.9931095972377433
SPI1	ARRB2	0.5560820076356752
SPI1	CD14	0.4953289276007098
SPI1	CTSA	0.2761454492920654
SPI1	CTSZ	0.34634866471888603
SPI1	CTSD	0.24833441070875129
SPI1	CD33	0.7228750214626967
SPI1	CTSB	0.39428063176006134
SPI1	CD70	0.3355141114394007
SPI1	CD86	0.7403891195367525
SPI1	OSCAR	0.6812653512861422
SPI1	ISG15	0.375206962150366
SPI1	CHST13	0.3038355212692707
SPI1	HAVCR2	0.7858939116322894
SPI1	NFAM1	0.6772958905682263
SPI1	HCLS1	0.864700273672729
SPI1	EFHD2	0.49518976869955367
SPI1	CHIT1	0.25058514167531154
SLA2	EPSTI1	0.5283771607071559
SLA2	IL2RG	1.114596522336111
SLA2	IL2RB	1.0938304773297354
SLA2	PDCD1	0.8774591285283337
SLA2	KCNN1	0.19718029535922632
SLA2	APOBEC3D	0.5036946778977072
SLA2	APOBEC3G	0.7487432681694708
SLA2	APOBEC3H	0.6760013629930715
SLA2	CARD11	0.7733704905322067
SLA2	TBX21	1.1847185968968734
SLA2	CD2	1.4660914193252816
SLA2	CD6	0.9474085004990052
SLA2	CD5	1.2065267730219569
SLA2	TNIP3	0.5624206189920526
SLA2	CD7	0.8544777184228316
SLA2	MSX2P1	0.1964404720518802
SLA2	FKBP5	0.15433846667049966
SLA2	SH2D2A	0.6915465506585781
SLA2	SH2D1A	1.2514118903790648
SLA2	CLEC12A	0.45937461072977825
SLA2	GBP1	0.5141109437698823
SLA2	GBP4	0.6426572077830413
SLA2	UBASH3A	1.285401393438673
SLA2	GBP5	0.7848108750835854
SLA2	LAG3	0.6264616442488942
SLA2	ZBED2	0.61516583796136
SLA2	CD101	0.33735940837534173
SLA2	SIRPG	1.062462948329812
SLA2	SAMD3	1.0809234636160783
SLA2	CD247	1.1839700967482205
SLA2	ACY3	0.327311034664989
SLA2	IRF2BP2	0.13398953300087868
SLA2	ECEL1	0.2992904770682294
SLA2	GFI1	0.9423402788883504
SLA2	PPP2R2B	0.4398177557448104
SLA2	BIN2	0.868345015033154
SLA2	ITK	1.0852982538167293
SLA2	RHOF	0.5799759849928083
SLA2	GHRL	0.31040332244932234
SLA2	ARHGAP27	0.24281930838075017
SLA2	JAK3	0.8207849028550722
SLA2	GZMA	1.038247730479152
SLA2	GZMB	0.7006879274006401
SLA2	GZMK	0.9308046370515672
SLA2	TMEM176B	0.3448123766993598
SLA2	PLAC8	0.5904415437948591
SLA2	SLC17A7	0.251087056797175
SLA2	LCK	1.268030580327352
SLA2	ZNF831	0.9274698904470267
SLA2	AIG1	0.19621900739988352
SLA2	ARHGDIB	0.2376281182582458
SLA2	ATP1A3	0.34110366912583157
SLA2	KLRK1	0.9808754708687948
SLA2	ZNF683	0.7709111064045837
SLA2	IRF1	0.5514956080591915
SLA2	TAP2	0.45387578681940166
SLA2	PATL2	0.5910294307580379
SLA2	CXCR6	1.0483159080836817
SLA2	CXCR3	1.1228336650200355
SLA2	CXCL9	0.713285975492405
SLA2	SASH3	0.8676632057821658
SLA2	IL12RB1	0.9062046880793062
SLA2	ITGAL	0.7826702064447355
SLA2	ITGA2	0.21386208935902484
SLA2	CRTAM	0.8989586612048184
SLA2	LAMP3	0.597936762320125
SLA2	CST7	0.9158990863822938
SLA2	CASP1	0.5199314185162178
SLA2	AMZ1	0.20186548987919828
SLA2	ZNF200	0.15866052183995727
SLA2	FASLG	0.9541822067681238
SLA2	CCL5	1.1693284094324063
SLA2	PTPN7	1.0853106447667917
SLA2	SLAMF7	0.758820183873187
SLA2	SLAMF6	1.1017100869699945
SLA2	SLAMF1	1.0180410083381117
SLA2	CD27	0.9625867567861954
SLA2	CD3G	1.0711161702651593
