Regulator	Target	MI
ATF1	LARP4	0.4158501282749123
ATF1	IREB2	0.371892519620471
ATF1	NEK7	0.3224621166040684
ATF1	SLC35A5	0.34657703768371384
ATF1	C12orf29	0.23409941542863333
ATF1	BDP1	0.3478950601386286
ATF1	ALG10B	0.35027561396390716
ATF1	LATS1	0.37333803361964524
ATF1	PDE7A	0.19747281308160858
ATF1	KSR2	0.20712456115002276
ATF1	TSNAX	0.23482200863820601
ATF1	SMAD1	0.28240236899673565
ATF1	BTBD10	0.23604190063516484
ATF1	PPPDE1	0.2204047142419734
ATF1	ACAP2	0.3613841487277316
ATF1	THAP8	0.31453317364701316
ATF1	RAB33B	0.38860056627775297
ATF1	NCLN	0.35039906883301075
ATF1	PJA2	0.3550370788424786
ATF2	DDIT3	0.3276483080623276
ATF2	ADAMTS12	0.3838195955645576
ATF2	U2AF1	0.4102018784144672
ATF2	ADAM10	0.612305199576638
ATF2	ASXL2	0.865524214988941
ATF2	C6orf41	0.22331916563140197
ATF2	HDDC3	0.31066773981896656
ATF2	DHX36	0.47387116210419844
ATF2	RRAGC	0.4668697487620239
ATF2	DNAJC13	0.5915651111474229
ATF2	SCRN3	0.4186895375243802
ATF2	MAPK8	0.49813335956382954
ATF2	GTF3C3	0.5052610223638165
ATF2	IMP3	0.34833468698144987
ATF2	PAK2	0.3365371493286764
ATF2	IPW	0.23300310461860008
ATF2	TNNC1	0.2329876510566864
ATF2	GTF2H3	0.5664817454331761
ATF2	RAB3GAP1	0.5024131380432513
ATF2	ARFRP1	0.4864060965374053
ATF2	UBR3	0.6182957562914897
ATF2	LCORL	0.41368436864382385
ATF2	RPS28	0.3331571577718062
ATF2	UTP3	0.1624822762308442
ATF2	KIAA1715	0.6099469629216303
ATF2	FAM109B	0.24927351854488222
ATF2	ACSS3	0.2676920077698206
ATF2	ARL6IP4	0.5055672375865914
ATF2	TRIP12	0.568611343831007
ATF2	MED19	0.27974344834993925
ATF2	INO80E	0.5011132895661383
ATF2	ALS2	0.5145059817767956
ATF2	NCKAP1	0.5803284750814752
ATF2	DKFZp686O24166	0.3362278140539061
ATF2	CCNI	0.4163809312694804
ATF2	NDUFS1	0.4514566049980111
ATF2	ZNF148	0.5425674658385553
ATF2	BATF	0.32761845372200415
SPI1	KCNE3	0.2493554019317461
SPI1	LGALS9	0.6058668831306235
SPI1	APOE	0.5497182110512773
SPI1	VMO1	0.38966991177941335
SPI1	FCER1G	0.8317194325309973
SPI1	PLD3	0.3234350571895739
SPI1	PSMB10	0.44662813522973366
SPI1	ASGR1	0.43016409395667665
SPI1	CD300LB	0.40165874074860675
SPI1	CD300LF	0.6356960802941733
SPI1	C1orf162	0.696627392662525
SPI1	APOC2	0.3432811158976987
SPI1	APOC1	0.41558327173060583
SPI1	RPS6KA1	0.2226393798823354
SPI1	TYMP	0.42993282738491434
SPI1	IL4I1	0.586267765026224
SPI1	RNASE2	0.3318586856630956
SPI1	EMP3	0.49507085808607076
SPI1	PTCRA	0.49947568622615446
SPI1	PIK3R6	0.5958704193628455
SPI1	LAT2	0.7119797523813691
SPI1	CYBA	0.4799714350052158
SPI1	C9orf167	0.630544343271227
SPI1	GSDMA	0.2940147921186007
SPI1	ANKRD58	0.5962725473100408
SPI1	TREM2	0.4210598757997799
SPI1	LST1	0.9779648633191957
SPI1	TNFAIP8L2	0.9701525378190139
SPI1	WAS	1.050802697233551
SPI1	STAC3	0.5917334231988169
SPI1	LILRB1	0.8038433543219359
SPI1	LILRB3	0.6352905787250123
SPI1	LILRB4	0.8631556816789336
