Regulator	Target	MI
ATF1	LEMD3	0.35476766285177597
ATF1	GCC2	0.37428510708674345
ATF1	ATF2	0.37393315050131726
ATF1	SHBG	0.2204616484105113
ATF1	GABPA	0.3759558689339588
ATF1	PPP2R5B	0.2380275125682223
ATF1	SFRS2IP	0.5180492358635398
ATF1	RNPEPL1	0.3448751730826052
ATF1	E2F6	0.19289467608905841
ATF1	UIMC1	0.17047972589215465
ATF1	ACAP2	0.415433068369528
ATF1	IMPG1	0.3020283331778071
ATF1	KCNJ11	0.22586804155906126
ATF1	ARL6IP6	0.29621222645504997
ATF1	PRPF31	0.43490059670270576
ATF1	CTDSPL2	0.38965866853514974
ATF1	MED28	0.20015356268504814
ATF1	TM7SF2	0.24471212466327064
ATF1	FCHO2	0.4211737428822344
ATF1	USP15	0.33091368256473874
ATF2	PIAS1	0.6280556168855433
ATF2	RABGGTA	0.33060526263559353
ATF2	DYNC1I2	0.3368487130910429
ATF2	SYNJ1	0.5772402717363692
ATF2	LANCL1	0.48246486539474986
ATF2	ASXL2	0.8400894149697731
ATF2	VPS41	0.42404169591066054
ATF2	TMED5	0.43962777085009375
ATF2	SIRT6	0.5963644376295552
ATF2	TPRA1	0.5436143977578052
ATF2	RPL26	0.26961133779711055
ATF2	ORC2L	0.4832016323438433
ATF2	EIF4G2	0.40966581541664304
ATF2	DNAJC13	0.5688220030153603
ATF2	ATF1	0.37393315050131726
ATF2	LIN52	0.3889989570311849
ATF2	KRR1	0.3859896237617573
ATF2	HIP1	0.4370122661184146
ATF2	RHBDD1	0.5340405428911605
ATF2	KIAA0247	0.3253272519869501
ATF2	UROS	0.32653508263260544
ATF2	COX7C	0.4233284955826626
ATF2	FAM3A	0.5273790759916803
ATF2	UBR3	0.6707675687418897
ATF2	ZNF770	0.532573516982044
ATF2	LCORL	0.41291394613215093
ATF2	TMEM184C	0.5705398632835568
ATF2	PDP2	0.5625382072221159
ATF2	MTMR6	0.418297134806604
ATF2	ATP8B5P	0.3359981486189527
