Regulator	Target	MI
ATF1	NEK7	0.32072387957679904
ATF1	GCC2	0.36499503612958506
ATF1	SFRS2IP	0.4546858129226754
ATF1	TUBB4	0.2461121802929771
ATF1	TIAF1	0.319493079833741
ATF1	FAM133B	0.2029011163033907
ATF1	FCHO2	0.43677733532877294
ATF1	CREB1	0.3780394378954979
ATF1	CLINT1	0.3248896228175191
ATF2	MAP3K2	0.7415103890296457
ATF2	CEBPD	0.24878089024123184
ATF2	ASXL2	0.9028952709875169
ATF2	NXT1	0.43584522116212465
ATF2	ORC2L	0.4004229830703254
ATF2	ADORA1	0.1693760906866455
ATF2	TMEM223	0.42440332206428355
ATF2	LOC653653	0.43771911872599656
ATF2	SCRN3	0.3631849380924317
ATF2	RHBDD1	0.5168083902374692
ATF2	GTF3C3	0.48066773593024603
ATF2	RQCD1	0.48879954262558467
ATF2	NBPF9	0.39560528893786184
ATF2	S100P	0.24985728704512677
ATF2	RAB3GAP1	0.4010179188356444
ATF2	ATAD1	0.32983351163247665
ATF2	SRBD1	0.309412193546283
ATF2	SMC3	0.45535660537728795
ATF2	TMEM184C	0.5595372664497864
ATF2	GDPD3	0.18588052656675202
ATF2	KIAA1715	0.5616081419813685
ATF2	RECQL	0.41857779562075326
ATF2	ITGA8	0.3713727813039043
ATF2	NCKAP1	0.5161349438316662
ATF2	REEP3	0.3621083341503475
ATF2	FRRS1	0.46575864680247303
ATF2	ZRANB3	0.3879353546097182
ATF2	NDUFS1	0.46395969047524765
ATF2	FLJ39739	0.13714864910638092
ATF2	LUZP6	0.4265116700608216
ATF2	HINT1	0.23275893603371411
SPI1	SECISBP2	0.2379657356573519
SPI1	LOC606724	0.6139576984772095
SPI1	APOE	0.542168234924608
SPI1	VMO1	0.33204632077121676
SPI1	FCER1G	0.8657290333424497
SPI1	CD300LF	0.6641894063356357
SPI1	C1orf162	0.7171635823299267
SPI1	C1orf127	0.27451236967122217
SPI1	GAL3ST4	0.37987633369877205
SPI1	APOC2	0.3100114457143208
SPI1	APOC1	0.4757964292617416
SPI1	TYMP	0.4223251163896471
SPI1	IL4I1	0.6372591733063304
SPI1	C2	0.6142940640648398
SPI1	EDEM2	0.25861169858904454
SPI1	EMP3	0.5239697318428771
SPI1	EMR1	0.46675319266354
SPI1	ST6GALNAC2	0.17523091452414352
SPI1	PIK3R6	0.5255167402625398
SPI1	LAT2	0.7745725828724046
SPI1	C9orf167	0.5587959038397496
SPI1	ANKRD58	0.5229267676038107
SPI1	RNF19B	0.37334346082643144
SPI1	TREM2	0.46074012276564336
SPI1	LST1	0.9672139554557564
SPI1	TNFAIP8L2	0.9398650844258318
SPI1	WAS	0.9947555289528731
SPI1	STAC3	0.5113037701326997
SPI1	LILRB1	0.8204619352960405
SPI1	LILRB4	0.9010843943333864
SPI1	TMEM149	0.6030219958502103
SPI1	SUDS3	0.26010675862328636
SPI1	ZC3H14	0.2907379832744521
SPI1	TGFB1	0.4006314206424859
SPI1	NFKBIE	0.4099946349813699
SPI1	RGS19	0.46110041312058136
SPI1	RGS14	0.2534176220573281
SPI1	PDE6G	0.562207821703721
SPI1	FTL	0.47103365833867095
SPI1	ACP5	0.2384928583016217
SPI1	IFFO1	0.5641340594315425
SPI1	MGAT1	0.46277115676028746
SPI1	RELT	0.3946227139601639
SPI1	IL32	0.46481056841196544
SPI1	GRN	0.3823203683917651
SPI1	CATSPER1	0.3696619265259429
SPI1	P2RY6	0.49412814234613567
SPI1	RENBP	0.550399622046279
SPI1	HCK	0.9710327189902399
SPI1	HK3	0.5892302914785237
SPI1	WEE1	0.27808913969330806
SPI1	CKLF	0.279473130881696
SPI1	LOC441294	0.16178286727352376
SPI1	KCNE1L	0.2041582566421276
SPI1	SH3BGRL3	0.36661152017945575
SPI1	PRAM1	0.6008513717515145
SPI1	LRRC25	0.911612699852161
SPI1	S100A4	0.3648844780648508
SPI1	SH3BP1	0.41094111430040403
SPI1	FCGR1B	0.6852617894923565
SPI1	IFI30	0.7209682202355223
SPI1	IFI27	0.3173823655454804
SPI1	CRYBB1	0.3920045859861885
SPI1	PLA2G15	0.3665373006148487
