Regulator	Target	MI	pvalue
FOXN2	EML4	0.41050818283866725	4.956476429285317E-8
TRAF7	AXIN1	0.5221364231848137	1.3370095167997142E-5
ZBTB43	NUP214	0.35231836464802324	1.3370095167997142E-5
PPIE	PABPC4	0.26897299221589716	0.0
ZNF706	CHRAC1	0.4389414177228006	0.0031681260384378573
DNM2	APBA3	0.3554401541449894	0.0031681260384378573
NEDD8	TINF2	0.22787252221146054	1.3370095167997142E-5
MRPL12	LSM4	0.5419439626560982	0.0031681260384378573
FOXA1	CEBPB	0.4187093452005947	4.956476429285317E-8
ACTL6A	ECE2	0.4164123318372277	0.0031681260384378573
CENPF	FAM111B	0.7047946180351141	0.0
FOXA1	KCNN4	0.42972478909672757	1.3370095167997142E-5
SOX11	APLN	0.17296792906897576	1.3370095167997142E-5
IRAK1	FOXP1	0.28113623611212124	0.0031681260384378573
HSF4	PLA2G6	0.34818903657456923	0.0
ZNF707	ZNF696	0.686619747913814	0.0
KDM5A	HSN2	0.38980473936184323	0.0
FOXA1	KCNK5	0.4205016891484321	0.0031681260384378573
PIAS2	ADNP2	0.35982425818653374	0.0
ZNF217	ADNP	0.4462113788251063	0.0
SIRT6	GADD45GIP1	0.6678718993279169	4.956476429285317E-8
NMI	PPA1	0.22919234603251426	0.0031681260384378573
EDA	CAV1	0.4245441991022556	0.0031681260384378573
ZNF554	ZNF763	0.2386737434877304	0.0031681260384378573
SLA2	TIGIT	1.054366455194879	0.0
SCAND1	NUBP2	0.6879069190828072	0.0
ZNF469	MRC2	0.432697193572006	1.3370095167997142E-5
TERF2	DDX19A	0.4844164231279934	0.0
TERF2	DDX19B	0.33755708894102004	0.0
ZNF764	C16orf53	0.4284309488161546	0.0031681260384378573
EIF2C2	XPO5	0.36716357505061076	0.0
CENPF	TPX2	0.9387517613969348	0.0
CASZ1	C1orf89	0.2730791541426589	1.3370095167997142E-5
ACTL6A	ECT2	0.5331378637232218	0.0
AFF1	SPG11	0.479566255828421	4.956476429285317E-8
HOXC13	HOXC10	0.5373428964408895	0.0
HOXC13	HOXC11	0.6065225302060202	0.0
UBE2I	GFER	0.4381978270588167	0.0031681260384378573
TP53BP1	C14orf174	0.3374779569724019	1.3370095167997142E-5
ZNF554	SLAMF8	0.18176342909341292	0.0031681260384378573
EHMT1	SEC16A	0.3680990683868749	0.0
ERG	CALCRL	0.6725765168441977	0.0031681260384378573
EDF1	COQ4	0.4681910011640662	1.3370095167997142E-5
IKBKG	IDH3G	0.4285176238498101	4.956476429285317E-8
SMARCA4	DNM2	0.44136975817809354	0.0
ZNF385D	PROS1	0.48409521491434476	1.3370095167997142E-5
AES	ALKBH7	0.5169053753212838	0.0031681260384378573
ZNF366	RGS7BP	0.47331064741895856	0.0031681260384378573
POGK	AHCTF1	0.44105030192651085	0.0031681260384378573
EGR1	FOSB	0.9123998717786204	1.3370095167997142E-5
VPS36	DIS3	0.4386868205525394	4.956476429285317E-8
HNRPDL	YTHDC1	0.27221666591232396	0.0
JUNB	HIC1	0.37158086851514704	1.3370095167997142E-5
ZFPM2	PARVA	0.48283935260053745	0.0
CLOCK	C9orf41	0.7042130660606958	0.0031681260384378573
DRAP1	SCYL1	0.553090223957072	1.3370095167997142E-5
POU5F1	QRICH2	0.24606904854664524	0.0031681260384378573
MORC3	SYNJ1	0.5012463657401972	0.0
ZNF319	DHX38	0.38790334008849237	0.0
SNAPC3	PLAA	0.30870415272324575	0.0
VPS72	BOLA1	0.5819987136244988	0.0
ZNF628	ZNF837	0.7079621420516388	0.0
SOX10	LCN2	0.32957103134180454	0.0031681260384378573
HMGA2	PTPRN	0.22083947730259404	1.3370095167997142E-5
RAN	PGAM5	0.47757030161995495	0.0
LDB1	ZFYVE27	0.2458805674946647	0.0
TRIB3	KRT18	0.3007010451551393	0.0031681260384378573
TAF5L	AHCTF1	0.45599932833600415	1.3370095167997142E-5
PRRX1	AEBP1	0.5846842301968782	0.0
ZCCHC24	SLC40A1	0.34688052665807784	1.3370095167997142E-5
CNBP	DNTTIP2	0.16576545558374023	0.0031681260384378573
ZNF280D	MRPS12	0.5160764806486287	0.0
ZDHHC24	RHOD	0.4421588970589605	4.956476429285317E-8
HDAC4	FOXK1	0.42495241606909634	0.0
BNC2	AMPH	0.45388210173363874	0.0
BAZ1B	LUZP6	0.36871742661599854	1.3370095167997142E-5
CNOT7	WRN	0.3571817227488898	0.0
NAB1	SPG20	0.3475653465166879	0.0031681260384378573
MMS19	RPLP0	0.1420847310991289	0.0031681260384378573
KCNH3	IL34	0.27197779164775077	4.956476429285317E-8
SLA2	TIFAB	0.7925826661699236	0.0031681260384378573
SOX17	HBA2	0.3582355431474429	0.0031681260384378573
FOXK2	WDR45L	0.5137676353702216	0.0
ZBTB48	USP20	0.4533869377441472	0.0
ZDHHC8	CENPT	0.3128727044994506	0.0031681260384378573
NFAT5	LOC283922	0.32299238364826044	0.0031681260384378573
TBX18	NBLA00301	0.6580897956168181	0.0
BPTF	DCAF7	0.5475826600055088	0.0
ZNF267	CDR2	0.19434685039781452	0.0031681260384378573
MLL5	ZNF655	0.3868250728003906	1.3370095167997142E-5
CREB3L1	C1QTNF6	0.3389524615752812	1.3370095167997142E-5
MYCBP2	PCNX	0.5560113091845204	4.956476429285317E-8
ZNF391	ZNF204P	0.4085135966193511	0.0
CHURC1	COL4A3BP	0.3684709520729843	0.0031681260384378573
WWP1	LYPLA1	0.2899026989335834	1.3370095167997142E-5
ZNF692	CPNE7	0.3216618823955063	1.3370095167997142E-5
GLRX2	C1orf182	0.23355861659497168	0.0031681260384378573
ZBTB48	UBXN11	0.5703230379633656	0.0
MAP3K1	IL6ST	0.3988086787796743	0.0031681260384378573
SNAPC4	EXD3	0.5140908772550099	0.0
IRF9	USP18	0.4155073171018905	0.0
PRAME	CCNE1	0.2622961014808243	0.0031681260384378573
CBFB	FAH	0.28399639374153535	4.956476429285317E-8
CBX7	CALCOCO1	0.513247372305212	1.3370095167997142E-5
ZNF202	C11orf57	0.3444732087476213	0.0
ZNF692	ZGLP1	0.38226552275380754	0.0
PTOV1	C12orf10	0.46108962579896795	1.3370095167997142E-5
ZNF202	C11orf61	0.3974205337174814	0.0
BHLHE40	CELSR1	0.37468328286004554	1.3370095167997142E-5
HNRNPAB	NOP16	0.5020711013628243	0.0
EMX2	ECM2	0.5615708068789522	0.0031681260384378573
CHMP1A	PRMT7	0.4030872035754699	0.0
EED	LOC727896	0.2933611786651114	0.0
ZNF628	ZNF579	0.7581145322250811	0.0
ZC4H2	MTMR8	0.3494545334603123	0.0031681260384378573
C14orf156	C14orf1	0.4121440290039048	0.0
C14orf156	C14orf2	0.7458813752531093	0.0
TCEAL7	TRIM9	0.2906552182897486	0.0031681260384378573
ORC2L	CCNT2	0.40087469188993496	1.3370095167997142E-5
THOC1	TSEN2	0.1680470876659248	1.3370095167997142E-5
MITF	ZFPM2	0.5542850293782793	1.3370095167997142E-5
ZNF267	C12orf35	0.3242872326063968	0.0031681260384378573
RUVBL2	HSPBP1	0.7713257662958981	0.0
FOXM1	SESN1	0.3324667938712773	0.0031681260384378573
DMTF1	TIA1	0.3803788890678583	0.0
KDM5B	NVL	0.2949817807196939	0.0
TBX21	LOC400759	0.5721498626848184	0.0
TCEAL7	WLS	0.4756284247097706	0.0
NRIP2	SLC11A1	0.2420850047167701	4.956476429285317E-8
SUMO1	HMGB1	0.1969448661723543	0.0031681260384378573
ETV1	FRMD6	0.4163718065748083	0.0031681260384378573
FOXP3	TIGIT	0.9127628073546774	0.0
ALS2CR8	XIST	0.40681708086330887	0.0
ZNF516	ZNF236	0.366656255728244	0.0
ZFAND1	SHC1	0.17490216831873595	0.0031681260384378573
FGF2	JAM2	0.5823755261080359	1.3370095167997142E-5
SNF8	PSMC5	0.5431564006884746	0.0
NACC1	RAVER1	0.4773077091948028	0.0031681260384378573
SNF8	PSMB3	0.42872423712621777	0.0
ZNF146	RPL7L1	0.36729524714024775	0.0031681260384378573
MAML1	TBC1D9B	0.24403811908960518	0.0
ZNF287	ZNF18	0.2171059272087914	0.0031681260384378573
NDUFA13	PMVK	0.46683190508223477	1.3370095167997142E-5
ATAD2	DSCC1	0.6219483421705516	4.956476429285317E-8
RPL6	NCRNA00188	0.3686614462544442	0.0031681260384378573
ATRX	CUL4B	0.41580208270217955	1.3370095167997142E-5
GATA3	PGLYRP2	0.35626973997216727	0.0031681260384378573
ZNF326	PRPF38B	0.301358576415579	1.3370095167997142E-5
PRDM6	BNC2	0.5057295008075773	4.956476429285317E-8
ZNF593	B3GALT6	0.4498202461871556	4.956476429285317E-8
THOC1	ZNF354A	0.18722275666451602	4.956476429285317E-8
ZCRB1	SUPT4H1	0.213582809669135	0.0031681260384378573
GLRX2	SCNM1	0.3733129726817559	0.0
